ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
432,I 121,451710.815,7663392.583,21533949,Naib,,Shipahu (relocated),17.09.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 1,152,1,2075076,I 122,E; S,1; 5; 7; 8; 9; 10; 12,null,>300m,TRUE,adjacent,unfavourable,15,<15m,isolated,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,,432
433,I 122,451516.824,7663124.482,21418243,Naib,,Shipahu,17.09.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 2,20,4,2075076,I 121,SE; NW,7; 8,null,>300m,TRUE,adjacent,unfavourable,4,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,433
434,I 123,451342.392,7665933.448,21008145,Naib,,Walter,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 95,49,5,1781911,I 124,NW,4; 5,null,>300m,null,<300m,unfavourable,6,<15m,isolated,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,434
435,I 124,451766.504,7665202.018,21527329,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 96,26,4,1781911,I 123,SW,8,null,>300m,null,>300m,unfavourable,10,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,435
436,I 125,451932.199,7665201.501,21028308,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 97,230,5,1786671,I 124,N; E; S; W,1; 2; 5; 8,null,>300m,TRUE,adjacent,unfavourable; ± vertical rock,2,>15m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,,436
437,I 126,451870.473,7664835.845,20906423,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 98,1,6,1027843,I 127,S,1,null,>300m,TRUE,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,,437
438,I 127,451946.033,7664568.051,2097589,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 99,60,6,1027843,I 126,N; E; NW,1; 4; 5; 6; 7; 8; 10; 12,null,>300m,TRUE,adjacent,unfavourable; ± vertical rock,18,<15m,marginal,poor,Pager's Camp,water run-off,many,many,many,many,none,many,none,none,none,,438
439,I 128,451084.143,7665406.964,21667203,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 102,58,5,442168,I 129,S,4; 5; 6,null,within shouting distance,TRUE,<300m,unfavourable,5,<1m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,439
439,I 128,451084.143,7665406.964,21667203,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 102,58,5,442168,I 129,S,4; 5; 6,null,within shouting distance,TRUE,<300m,unfavourable,5,<1m,marginal,rather nice,none,vegetation impact,few,few,none,none,none,none,none,none,none,,439
440,I 129,451641.034,7665849.971,2158798,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 101,1,6,442168,I 128,W,6,null,within shouting distance,null,<300m,unfavourable,3,<1m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,440
441,I 130,451919.877,7665371.749,21553847,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 100,8,2,991647,I 129,NE; NW,1; 12,null,within shouting distance,TRUE,adjacent,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,441
442,I 131,451526.400,7665641.030,21865795,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 138,7,5,552753,I 133,N; E,1; 12,null,within shouting distance,null,within shouting distance,unfavourable,10,<15m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,442
443,I 132,452984.922,7665126.331,21854446,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 137,8,6,593812,I 131,NE,4; 5,TRUE,within shouting distance,null,<300m,unfavourable,9,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,443
444,I 133,452340.167,7665818.070,21786068,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 136,172,3,552753,I 131,N,1; 3; 4; 5; 7; 8; 12,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,13,<15m,marginal,rather nice,Pager's Camp,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,,444
445,I 134,451783.168,7665541.870,21879363,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 139,42,5,1254946,I 136,N; SE; W,1; 12,null,>300m,TRUE,adjacent,± vertical rock,4,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,445
446,I 135,451475.722,7665301.253,22084934,Naib,,Matheus,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 141,60,5,723584,I 136,N; E,2; 3; 4; 5; 8,null,<300m,TRUE,<300m,unfavourable,1,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,446
447,I 136,451117.141,7665122.106,22009052,Naib,,Matheus,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 140,79,6,723584,I 135,SE; S,1; 5; 6; 8; 10; 12,null,>300m,TRUE,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,,447
448,I 137,451342.926,7665758.619,22551136,Naib,,Matheus,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 146,2,5,1994727,I 136,N,1,null,>300m,null,>300m,± vertical rock,2,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,,448
449,I 138,452733.293,7665543.649,22802512,Naib,,Shipahu,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 145,14,5,2992866,I 139,N,1,null,>300m,TRUE,adjacent,± vertical rock,2,<15m,isolated,poor,none,disintegration of rock,few,few,none,none,none,none,none,none,none,,449
449,I 138,452733.293,7665543.649,22802512,Naib,,Shipahu,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 145,14,5,2992866,I 139,N,1,null,>300m,TRUE,adjacent,± vertical rock,2,<15m,isolated,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,449
450,I 139,452139.281,7665529.285,23410792,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 144,13,3,524021,I 140,NE,1,null,>300m,TRUE,adjacent,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,450
451,I 140,452084.652,7665048.891,23476077,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 143,3,3,524021,I 139,SW,1,null,>300m,TRUE,within shouting distance,± vertical rock,2,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,,451
452,I 141,451540.620,7665382.664,22456858,Naib,,Matheus,04.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 149,16,5,1945227,I 142,E,1; 5; 12,null,NA,TRUE,within shouting distance,unfavourable,1,<3m,marginal,poor,none,water run-off,many,many,many,many,none,none,none,none,none,,452
453,I 142,451393.505,7665151.004,22455862,Naib,,Matheus,04.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 148,4,6,888159,I 143,NW,1,TRUE,<300m,TRUE,within shouting distance,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,453
454,I 143,451167.491,7665420.720,22531452,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 147,101,6,888159,I 142,SW,5; 6; 7; 9; 10,TRUE,within shouting distance,TRUE,adjacent,spacious,10,>15m,marginal,poor,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,medium quantity,none,none,none,,454
455,I 144,451933.004,7665022.519,22475336,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 150,156,4,339352,I 145,SW; NW,1; 2,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,2,>15m,central,rather nice,none,disintegration of rock,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,iron arrowhead,,455
455,I 144,451933.004,7665022.519,22475336,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 150,156,4,339352,I 145,SW; NW,1; 2,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,2,>15m,central,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,iron arrowhead,,455
456,I 145,451083.260,7665449.370,22492115,Naib,,Shipahu,10.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 151,5,3,339352,I 144,N,1,TRUE,within shouting distance,TRUE,within shouting distance,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,456
457,I 146,451282.905,7666322.337,2308801,Naib,,Shipahu,09.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 152,6,4,2389488,I 145,W,5; 6,null,<300m,TRUE,adjacent,unfavourable,11,<15m,isolated,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,457
458,I 147,451690.182,7666371.666,23772738,Naib,,Shipahu,12.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 153,2,5,1021412,I 148,SE,1,null,<300m,TRUE,adjacent,± vertical rock,2,<3m,marginal,rather nice,none,water run-off,few,none,few,none,none,none,none,none,none,,458
459,I 148,451352.338,7666353.991,23869796,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 154,3,4,637022,I 149,SE; SW,5,null,<300m,TRUE,adjacent,unfavourable,4,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,459
460,I 149,451871.167,7666394.027,2377298,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 155,10,5,637022,I 148,NE,1,null,>300m,TRUE,adjacent,± vertical rock,1,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,460
461,I 150,451726.211,7666282.741,23773885,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 156,28,5,70502,I 149,N; E; S; W,1; 2; 12,null,>300m,TRUE,adjacent,± vertical rock,3,>15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,461
462,I 151,451638.508,7666288.920,236768,Naib,,Shipahu,25.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 157,67,3,1497504,I 147,NE,1; 8; 12,null,<300m,TRUE,within shouting distance,unfavourable,5,<15m,marginal,rather nice,Pager's Camp,disintegration of rock,many,many,many,many,none,many,none,none,none,,462
462,I 151,451638.508,7666288.920,236768,Naib,,Shipahu,25.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 157,67,3,1497504,I 147,NE,1; 8; 12,null,<300m,TRUE,within shouting distance,unfavourable,5,<15m,marginal,rather nice,Pager's Camp,water run-off,many,many,many,many,none,many,none,none,none,,462
463,I 152,451452.126,7666511.183,23741127,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 158,24,5,1424647,I 153,N,1; 12,null,>300m,TRUE,adjacent,± vertical rock,0,<15m,central,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,,463
464,I 153,451355.751,7666169.586,23844637,Naib,,Nashilengo,26.04.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 159,7,3,1424647,I 152,NW,5; 6,null,<300m,TRUE,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,464
465,I 154,451154.822,7666829.747,23970115,Naib,,Walter,26.04.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 73,30,4,2859841,I 155,SW,1; 5; 12,null,<300m,TRUE,adjacent,unfavourable,3,>15m,isolated,poor,none,disintegration of rock,few,few,few,few,none,none,none,none,none,,465
465,I 154,451154.822,7666829.747,23970115,Naib,,Walter,26.04.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 73,30,4,2859841,I 155,SW,1; 5; 12,null,<300m,TRUE,adjacent,unfavourable,3,>15m,isolated,poor,none,water run-off,few,few,few,few,none,none,none,none,none,,465
466,I 155,450280.289,7666802.600,23352108,Naib,,Shipahu,26.04.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 74,11,5,2859841,I 154,NW,3; 4; 5,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,10,>15m,isolated,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,,466
467,I 156,450385.639,7665718.491,21955399,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 94,11,6,574992,I 158,N,8,null,<300m,TRUE,adjacent,unfavourable,1,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,467
468,I 157,450041.852,7665046.296,21960981,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 91,125,5,891478,I 158,NE,1,null,<300m,TRUE,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,468
469,I 158,450507.103,7665603.153,21921428,Naib,,Matheus,04.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 92,7,6,574992,I 156,W,1,null,<300m,TRUE,within shouting distance,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,469
470,I 159,450292.146,7665716.240,22035379,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 93,180,6,670728,I 156,W,4; 5; 6; 7,null,<300m,TRUE,within shouting distance,unfavourable,15,>15m,marginal,rather nice,Pager's Camp,disintegration of rock,many,many,many,none,none,none,none,none,none,,470
470,I 159,450292.146,7665716.240,22035379,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 93,180,6,670728,I 156,W,4; 5; 6; 7,null,<300m,TRUE,within shouting distance,unfavourable,15,>15m,marginal,rather nice,Pager's Camp,water run-off,many,many,many,none,none,none,none,none,none,,470
471,I 160,450108.168,7665743.940,21969526,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 90,34,6,936664,I 157,N,11,null,<300m,TRUE,within shouting distance,unfavourable,5,<3m,marginal,rather nice,Pager's Camp,water run-off,few,few,few,none,none,none,none,none,none,,471
